Id,A,B,C,D,E,F,G,H,I,Air Quality
36,2.8,30.4,12.1,42.1,41.4,89.8,2.67,35.3,861,0
37,7.3,16.1,144.0,46.1,42.5,100.3,2.3,169.8,443,0
38,3.7,27.2,23.4,33.5,34.2,81.2,1.95,56.5,600,0
39,6.0,6.0,4.2,48.1,23.7,94.1,1.57,19.0,625,1
40,7.6,17.4,21.4,31.6,30.1,76.7,1.29,26.9,663,2
41,5.7,-2.8,31.5,29.0,27.0,83.5,1.49,44.4,538,2
42,8.1,2.0,19.5,24.9,25.6,82.2,1.54,27.9,458,2
43,5.4,9.9,17.8,27.7,37.5,99.4,1.74,29.9,588,1
44,10.2,2.5,16.0,20.8,11.2,48.5,1.17,19.7,432,3
45,6.8,20.5,95.7,32.0,36.1,69.7,2.3,110.4,673,1
46,10.7,1.6,14.6,21.5,20.9,60.0,0.94,20.6,587,3
47,11.0,3.8,12.8,29.6,22.0,63.1,1.16,15.9,377,3
48,6.8,25.8,1.4,33.2,23.0,49.8,2.06,23.3,730,1
49,5.2,22.7,44.0,58.6,44.3,66.0,3.09,54.0,641,0
50,9.5,10.6,15.7,25.7,27.7,69.3,1.44,25.0,482,2
51,4.9,27.6,7.9,35.1,35.3,69.2,2.07,30.3,724,0
52,10.2,5.7,4.6,20.4,20.5,44.9,1.03,9.2,545,3
53,7.3,9.0,5.2,24.6,22.5,84.2,1.48,19.2,623,2
54,5.3,19.0,25.8,25.9,31.2,62.8,1.48,35.6,411,2
55,10.5,8.9,10.6,22.1,13.9,54.0,1.0,15.4,265,3
56,6.6,16.4,54.0,34.1,31.6,97.9,2.15,76.8,513,1
57,11.8,6.6,2.9,26.7,11.1,53.9,0.96,6.4,533,3
58,6.8,4.0,28.6,30.4,39.9,101.1,2.2,42.6,639,1
59,2.5,9.4,34.3,41.4,42.7,65.4,1.87,52.8,721,0
60,11.1,11.3,17.0,28.2,19.7,49.6,0.99,21.7,214,3
61,4.4,9.4,32.2,36.6,32.1,75.5,1.95,41.3,543,1
62,11.2,5.6,11.0,18.8,20.0,77.7,1.09,15.8,409,3
63,6.8,20.3,11.4,34.9,36.5,96.9,1.89,30.2,680,1
64,10.7,5.5,19.3,22.3,26.1,78.8,0.82,26.0,214,3
65,14.7,2.8,2.3,21.4,23.4,76.9,1.09,6.7,338,3
66,12.9,3.6,12.2,22.4,26.6,73.0,0.97,15.0,266,3
67,7.3,12.1,7.2,33.1,38.9,52.0,1.46,15.9,452,2
68,10.3,7.7,15.5,25.5,18.6,48.0,1.04,19.9,503,3
69,5.5,3.1,25.9,23.9,21.5,73.9,1.45,28.5,562,2
70,12.5,6.2,20.7,23.7,20.4,40.0,1.05,23.0,318,3
71,12.5,1.1,5.4,21.9,13.5,70.1,1.09,10.4,224,3
72,4.0,26.7,24.5,44.9,39.9,105.8,2.36,47.4,878,0
73,10.7,5.0,6.2,27.0,24.3,45.5,1.01,13.0,205,3
74,5.0,9.2,101.6,33.4,19.3,78.5,1.32,109.9,334,2
75,19.7,7.4,0.0,23.5,23.5,51.6,0.92,8.3,450,3
76,6.6,10.4,48.4,35.4,21.0,51.9,1.53,53.0,628,2
77,10.2,6.8,4.6,21.0,15.1,60.5,0.93,8.9,378,3
78,3.1,37.6,240.1,46.8,40.3,91.6,2.46,261.5,879,0
79,10.4,7.8,14.3,23.9,21.8,66.7,1.07,16.9,413,3
80,10.1,1.7,0.4,24.6,21.2,45.1,0.94,6.4,226,3
81,5.3,16.7,14.4,24.1,31.0,59.3,2.0,33.1,622,1
82,4.1,13.3,73.6,41.4,35.1,82.2,2.84,89.8,620,0
83,14.2,5.5,0.2,22.5,15.0,73.0,0.95,6.2,543,3
84,12.8,5.9,3.9,24.6,21.7,51.3,0.98,8.0,454,3
85,7.7,23.1,27.9,29.5,26.3,77.2,1.68,44.4,586,1
86,6.5,9.5,33.2,32.5,29.0,68.3,1.52,40.1,410,2
87,7.5,7.6,1.9,33.0,36.1,56.8,1.75,5.0,481,2
88,6.0,6.0,7.3,30.1,27.9,86.8,1.29,22.4,690,2
89,11.4,7.3,0.7,22.3,23.7,75.4,0.93,4.7,291,3
90,5.1,12.8,18.9,27.4,22.6,81.5,1.55,30.4,341,2
91,12.5,4.0,2.3,28.3,25.3,40.6,0.88,6.9,590,3
92,7.1,13.0,2.0,30.8,23.6,68.9,1.46,11.5,638,2
93,5.5,9.8,1.1,27.7,28.2,78.7,1.53,20.5,449,2
94,10.0,8.1,7.8,22.9,21.8,66.9,1.07,16.3,435,3
95,3.0,12.4,11.7,33.4,41.7,85.5,2.03,31.7,927,0
96,12.6,0.9,3.7,22.9,13.4,40.5,1.12,7.3,246,3
97,6.3,14.1,13.3,23.1,22.9,59.7,1.3,25.3,598,2
98,10.8,4.9,20.3,27.6,26.6,75.9,1.11,25.9,334,3
99,12.5,5.7,1.6,32.8,28.1,60.4,1.36,12.8,406,2
100,13.8,4.8,1.3,21.6,23.8,71.5,0.89,6.5,384,3
101,5.1,12.8,4.3,31.4,21.8,81.8,1.47,17.5,437,2
102,10.9,8.6,1.1,24.2,11.7,64.4,1.08,7.2,239,3
103,8.2,21.7,104.9,47.3,44.6,88.4,2.71,127.4,648,0
104,3.2,20.7,29.3,40.0,45.1,88.7,2.03,46.0,821,0
105,10.9,5.7,25.5,29.2,13.3,72.1,1.08,32.3,358,3
106,7.2,13.4,5.7,30.7,26.5,54.3,1.87,20.8,437,2
107,3.1,19.6,33.6,37.3,35.6,90.7,2.45,43.8,754,0
108,6.0,8.6,7.5,33.4,24.1,70.5,1.49,15.2,417,2
109,8.1,10.3,8.6,28.9,31.1,80.1,1.61,19.7,562,2
110,5.1,16.5,10.5,33.5,26.8,97.1,2.13,24.1,686,1
111,10.8,7.0,10.5,25.2,24.7,42.6,0.89,18.0,517,3
112,5.9,6.5,21.1,30.2,30.6,79.7,1.63,25.3,609,2
113,3.5,17.4,64.2,35.6,43.9,74.6,2.61,76.2,679,1
114,5.5,9.7,58.1,32.4,14.2,64.3,1.41,74.1,489,2
115,6.9,11.3,43.6,35.0,27.9,80.5,1.65,55.1,664,2
116,9.0,16.9,68.4,37.3,37.5,98.6,2.34,85.3,695,1
117,12.7,4.1,5.5,15.4,15.4,64.2,1.0,10.5,549,3
118,5.2,14.7,4.7,29.5,35.9,83.3,2.97,22.7,631,1
119,7.3,14.2,3.4,30.2,36.0,87.8,1.47,15.9,399,2
120,10.7,7.9,3.5,28.0,18.7,65.1,0.9,5.2,458,3
121,10.8,4.4,1.4,31.3,21.8,46.6,0.87,7.5,233,3
122,5.1,31.5,2.4,36.2,50.9,87.2,3.04,17.5,937,0
123,3.2,42.3,28.4,34.4,34.5,86.3,2.28,50.6,685,0
124,6.4,15.9,5.3,24.0,34.8,53.4,1.16,10.8,728,2
125,4.2,6.8,39.4,32.1,39.5,73.6,2.0,54.8,493,1
126,12.5,4.7,4.5,21.5,22.4,72.6,0.98,9.5,391,3
127,7.6,18.2,33.4,31.3,28.7,101.5,1.97,52.8,488,1
128,5.4,6.5,17.2,28.8,27.9,76.6,1.44,34.6,405,2
129,5.1,21.8,3.0,28.0,22.8,55.4,1.76,15.1,405,2
130,6.4,16.5,6.5,38.1,41.6,69.3,1.46,23.6,806,1
131,6.7,12.1,44.9,28.2,29.1,89.5,1.29,53.9,544,2
132,6.3,10.6,20.2,33.6,30.2,81.2,1.24,30.3,714,2
133,11.8,7.9,19.6,29.2,29.3,74.5,1.46,32.3,629,2
134,11.5,9.9,16.4,26.2,24.0,47.6,0.85,20.2,506,3
135,8.3,11.6,22.3,24.5,22.4,93.6,1.81,31.7,585,2
136,11.1,6.2,12.1,28.7,14.2,64.6,1.04,17.6,600,3
137,3.8,13.9,8.2,38.3,24.9,99.0,2.69,27.2,808,1
138,12.0,4.9,3.1,22.8,11.1,65.1,0.88,10.6,500,3
139,6.4,6.3,24.9,32.5,25.8,75.1,1.69,36.0,516,2
140,5.3,8.8,24.0,32.9,22.0,49.6,1.64,28.5,518,2
141,5.1,7.9,35.4,28.0,41.2,90.3,2.06,58.2,662,1
142,6.5,20.1,63.0,37.8,52.6,79.1,2.6,85.1,778,0
143,5.0,15.5,12.2,30.4,31.3,63.8,1.7,22.1,389,2
144,17.8,6.6,3.6,25.5,19.1,38.3,1.05,8.8,379,3
145,11.4,5.1,1.1,30.8,21.2,60.3,0.96,3.6,470,3
146,10.6,7.0,19.1,23.7,24.0,51.7,1.07,22.2,371,3
147,9.0,11.0,6.4,43.1,38.8,75.5,2.24,14.2,644,1
148,9.3,5.1,12.1,29.1,17.5,61.2,2.03,18.5,502,2
149,16.4,7.6,11.1,28.4,15.1,48.0,1.06,17.7,334,3
150,5.0,10.0,124.1,28.8,32.0,76.6,2.02,135.5,566,1
151,3.7,22.3,103.0,36.4,26.5,80.3,2.38,106.4,844,0
152,14.8,7.2,8.4,24.2,17.2,55.9,0.96,10.9,497,3
153,5.2,20.3,3.8,32.1,28.1,54.6,1.54,13.6,701,2
154,7.4,25.8,85.9,31.6,45.0,97.6,1.82,101.9,804,1
155,13.4,5.2,7.4,23.3,23.7,42.6,1.14,10.6,292,3
156,6.2,9.1,33.9,25.3,35.9,83.3,1.41,44.0,488,2
157,11.1,5.1,6.5,26.4,21.8,60.3,0.88,13.2,412,3
158,6.9,11.3,28.2,23.9,37.0,61.4,1.56,40.3,559,2
159,13.6,5.2,3.2,23.9,18.6,61.8,0.93,9.9,438,3
160,5.4,23.5,11.8,32.5,26.1,71.3,2.16,30.9,730,1
161,6.4,15.6,5.4,38.7,50.3,71.9,2.81,31.0,503,0
162,8.4,9.0,22.5,50.9,38.2,79.9,2.65,52.0,611,0
163,6.0,8.5,8.9,34.7,33.3,88.9,1.19,16.1,447,2
164,10.2,4.7,7.2,28.2,20.8,68.1,1.07,9.1,379,3
165,11.4,6.2,1.9,25.6,13.5,52.6,1.07,3.6,492,3
166,11.4,3.2,0.3,22.5,17.3,41.5,1.01,7.1,212,3
167,6.0,10.1,2.3,33.5,29.4,75.7,1.45,18.1,633,2
168,2.8,21.1,17.9,47.2,42.9,78.4,2.36,46.0,517,0
169,7.5,9.7,9.3,29.5,21.2,72.7,1.59,25.0,404,2
170,15.7,5.5,1.2,31.7,11.5,47.3,1.18,6.9,451,3
171,13.1,8.3,1.8,21.5,18.6,73.3,0.94,8.5,207,3
172,5.9,2.7,21.7,40.0,28.1,66.1,1.66,41.3,745,1
173,8.5,11.5,24.3,39.1,28.2,82.4,2.03,49.8,818,1
174,12.1,2.6,18.4,27.2,21.5,43.8,1.03,23.1,253,3
175,5.2,17.1,47.1,39.6,35.8,96.2,2.03,65.4,661,1
176,3.1,17.4,22.3,40.2,43.7,91.9,2.07,34.2,900,0
177,6.7,12.4,20.6,26.4,24.1,77.1,1.46,24.8,576,2
178,5.7,14.9,72.7,47.4,34.3,93.1,2.54,96.6,797,0
179,5.1,9.9,8.9,25.2,41.7,63.2,2.14,19.6,473,1
180,16.0,5.2,4.7,25.0,21.2,75.7,1.15,9.3,541,3
181,8.7,6.0,6.0,30.8,29.2,67.6,1.42,15.4,564,2
182,15.6,6.3,0.3,21.5,15.9,74.6,1.02,8.1,381,3
183,5.7,8.9,3.7,33.1,17.2,84.4,1.61,9.5,504,2
184,12.2,4.1,22.8,24.1,26.5,47.5,0.91,26.0,406,3
185,12.1,5.5,18.6,24.7,17.1,51.4,1.01,23.5,443,3
186,7.2,16.3,7.4,23.1,28.5,100.8,1.8,30.0,711,1
187,3.7,11.5,48.9,54.6,30.1,90.7,2.74,62.9,617,0
188,6.1,7.6,21.5,30.5,25.6,75.1,1.21,34.0,401,2
189,5.2,8.6,0.7,32.0,16.9,48.8,1.65,15.8,662,2
190,10.9,2.7,5.1,28.3,19.3,52.1,0.9,9.8,271,3
191,6.3,5.2,3.8,27.5,20.3,55.1,1.38,14.9,629,2
192,3.3,7.4,19.1,36.5,49.3,103.6,2.15,50.4,879,0
193,2.7,16.0,60.3,53.1,32.2,70.2,2.28,81.9,526,0
194,12.1,3.4,1.2,26.5,26.5,52.8,0.91,10.0,377,3
195,10.5,7.3,0.3,26.2,23.4,41.0,1.05,6.4,432,3
196,10.5,6.7,5.9,24.6,14.2,46.5,0.96,13.0,547,3
197,10.8,2.1,1.9,24.3,22.7,72.9,0.89,10.4,300,3
198,11.4,5.6,15.8,22.7,17.4,70.9,0.99,19.6,516,3
199,11.1,4.3,21.9,23.8,21.9,57.9,1.02,27.3,336,3
200,5.7,9.2,60.1,24.3,21.4,69.1,1.44,76.5,512,2
201,10.1,5.0,8.4,29.0,16.5,51.7,1.01,13.0,226,3
202,10.5,4.6,13.6,27.7,21.6,69.1,1.07,19.1,231,3
203,11.5,2.6,8.4,23.7,24.2,75.4,1.01,15.0,275,3
204,10.5,2.5,1.5,26.7,25.5,41.8,1.07,6.5,303,3
205,9.1,7.3,13.6,32.8,35.2,81.0,1.31,22.2,534,2
206,2.7,13.5,3.6,28.9,62.1,109.5,2.35,21.7,678,0
207,10.5,14.0,5.2,32.9,30.6,66.9,1.47,8.6,485,2
208,11.6,6.3,0.7,21.8,10.2,69.0,0.95,7.9,489,3
209,10.5,6.8,16.0,25.4,15.2,59.1,1.04,16.6,439,3
210,5.2,10.7,90.0,22.2,29.1,74.0,1.94,99.8,573,1
211,5.5,7.7,16.3,28.5,23.0,69.0,1.71,25.3,344,2
212,2.9,17.8,6.2,30.3,36.5,86.7,2.31,30.2,465,0
213,7.4,13.4,24.8,28.0,28.1,76.6,1.53,35.9,440,2
214,6.2,11.1,9.9,27.0,24.3,92.6,1.19,20.1,453,2
215,10.1,14.2,3.0,34.0,28.6,63.3,2.07,23.6,548,1
216,11.7,3.4,1.8,23.5,25.2,62.5,1.16,7.3,501,3
217,3.5,23.5,63.2,38.8,44.7,90.1,2.35,69.5,771,0
218,5.0,1.1,22.2,29.8,36.9,62.8,1.55,32.8,437,2
219,10.3,5.5,3.9,26.6,24.2,54.5,1.09,10.3,580,3
220,6.7,14.9,9.4,35.5,25.3,84.7,1.55,20.0,626,2
221,3.4,14.0,60.3,37.1,35.5,72.4,2.17,68.4,580,1
222,3.7,23.0,22.6,35.4,37.5,65.0,2.01,46.2,509,1
223,3.6,12.8,33.3,42.2,48.0,66.0,2.54,51.4,709,0
224,10.6,0.7,5.9,24.7,19.3,79.4,0.91,9.0,219,3
225,11.6,3.2,4.2,28.7,20.8,63.6,0.92,10.2,487,3
226,10.8,7.4,7.4,20.8,10.6,68.0,0.95,11.4,316,3
227,13.8,3.9,19.9,21.7,22.8,45.4,0.78,25.3,385,3
228,3.8,35.4,31.7,34.4,50.5,85.0,2.5,53.6,822,0
229,10.2,0.4,8.2,19.4,21.1,70.6,0.99,14.2,262,3
230,12.3,2.7,7.8,26.0,11.7,68.3,0.99,13.9,307,3
231,4.8,32.9,17.5,50.3,46.5,97.4,2.49,38.7,588,0
232,13.4,2.8,1.0,20.5,23.6,80.0,0.91,3.2,276,3
233,6.5,8.2,3.5,34.0,29.6,73.4,1.38,18.7,522,2
234,10.1,8.0,4.1,23.1,22.7,43.1,1.03,7.9,499,3
235,15.6,5.9,1.3,26.3,16.4,66.7,0.97,5.7,205,3
236,11.3,8.2,2.9,24.0,13.0,56.9,1.14,6.9,360,3
237,14.8,3.9,16.8,24.3,19.4,48.2,0.97,25.9,544,3
238,9.3,10.7,1.1,27.8,26.7,78.1,1.28,19.8,376,2
239,4.1,8.5,18.0,44.0,27.9,80.4,2.12,29.5,685,1
240,13.7,6.7,19.2,22.6,26.5,46.7,0.82,26.8,354,3
241,10.1,5.5,11.0,30.8,25.7,47.7,1.11,16.4,332,3
242,10.5,4.8,3.9,22.5,12.8,68.9,1.08,8.4,447,3
243,11.1,7.6,2.4,27.3,24.6,67.7,1.13,9.2,249,3
244,10.7,0.7,3.0,26.3,24.7,47.2,1.08,5.5,368,3
245,5.5,13.0,8.5,38.1,21.9,61.3,1.61,27.1,343,2
246,7.1,15.7,9.7,26.6,23.5,55.2,1.87,11.1,576,2
247,5.4,10.0,7.3,30.6,28.1,72.5,1.68,12.3,555,2
248,6.5,4.6,169.2,33.4,48.7,86.5,2.36,194.7,737,1
249,5.9,11.6,18.3,30.7,27.6,76.4,1.54,31.9,516,2
250,7.6,9.0,32.8,39.0,29.9,87.2,1.03,43.8,482,2
251,10.8,5.2,46.5,33.5,22.9,43.8,1.71,61.9,523,2
252,4.5,19.0,31.6,40.6,30.5,85.2,2.66,44.8,554,1
253,5.0,9.0,1.9,21.8,20.8,53.6,1.43,13.1,309,2
254,6.4,5.6,21.8,27.4,22.3,64.6,1.45,37.7,465,2
255,4.4,22.0,26.0,31.3,27.3,65.1,2.01,33.8,631,1
256,10.6,8.3,33.4,29.9,20.6,86.8,1.46,41.3,295,2
257,5.9,15.3,5.5,30.6,28.7,93.2,1.41,9.5,393,2
258,10.4,0.8,8.9,28.2,17.6,50.1,1.05,16.9,291,3
259,11.6,5.3,83.5,42.1,42.5,87.0,2.18,97.7,712,1
260,15.7,3.8,1.5,25.6,10.9,49.2,1.04,5.8,293,3
261,3.9,32.5,11.4,35.9,54.1,98.2,2.71,18.9,560,0
262,10.5,10.9,20.4,31.5,39.2,71.1,2.11,35.1,562,1
263,13.2,3.7,8.5,25.6,12.9,66.5,0.94,14.5,354,3
264,13.4,6.7,3.3,24.9,17.1,47.8,1.05,7.8,581,3
265,12.2,9.5,13.8,24.8,14.5,58.3,1.0,19.1,437,3
266,4.6,19.9,9.8,27.6,29.8,73.0,1.62,18.7,705,1
267,9.0,21.1,36.4,32.4,36.8,80.4,1.76,52.2,643,1
268,9.0,14.9,26.3,34.4,29.3,72.7,1.51,39.6,439,2
269,10.5,7.4,9.9,27.8,23.8,49.2,1.04,14.9,441,3
270,3.8,22.3,8.3,41.7,36.1,93.9,2.06,22.4,497,1
271,11.1,8.4,33.1,27.1,12.1,51.4,1.03,36.6,241,3
272,10.2,18.2,193.1,40.3,39.0,89.3,2.32,212.6,758,0
273,3.8,17.6,19.6,24.4,41.2,77.3,1.85,24.8,656,1
274,6.4,9.1,30.9,28.9,23.7,56.2,1.63,40.8,572,2
275,11.4,5.2,9.7,26.6,20.3,38.3,1.07,14.7,375,3
276,5.8,8.7,12.7,27.4,22.0,44.7,1.18,22.1,363,2
277,5.4,9.1,2.0,36.6,30.5,49.9,1.29,14.5,565,2
278,6.2,14.5,2.8,35.7,26.9,73.1,1.77,7.9,421,2
279,4.9,4.1,64.6,31.0,43.9,76.0,2.35,88.8,804,1
280,5.6,7.0,17.9,33.0,33.1,56.9,1.84,20.6,606,2
281,15.2,4.4,0.4,20.9,23.2,69.9,0.87,6.7,520,3
282,10.4,7.2,10.0,25.7,22.7,42.0,1.16,17.4,384,3
283,6.3,12.2,33.8,30.0,28.7,87.5,1.63,43.1,561,2
284,14.5,4.1,3.1,23.7,11.1,73.8,0.97,4.2,447,3
285,11.1,5.4,5.9,23.1,20.4,43.9,1.06,8.1,564,3
286,16.2,6.7,10.9,21.7,25.4,53.2,1.02,15.2,301,3
287,11.9,6.4,2.8,23.5,24.4,46.1,1.09,8.1,357,3
288,4.1,24.1,12.2,37.3,37.7,59.7,2.25,26.6,640,1
289,5.0,25.8,20.8,32.9,32.0,110.4,2.5,40.4,775,0
290,5.7,12.7,5.6,32.5,26.0,55.7,1.54,10.7,298,2
291,4.7,11.1,76.1,37.6,38.6,90.9,1.74,78.8,506,1
292,13.8,5.8,4.1,33.6,21.0,46.6,0.92,9.1,204,3
293,10.8,7.1,43.9,23.9,16.5,56.6,1.13,53.1,520,3
294,14.5,3.1,3.8,20.5,12.3,56.2,0.98,10.4,459,3
295,7.3,8.2,27.5,29.7,23.8,75.5,1.32,33.0,554,2
296,7.9,9.6,42.6,28.5,23.2,66.5,1.63,52.4,463,2
297,6.9,24.1,9.8,36.2,34.3,95.0,2.12,31.8,681,1
298,12.2,3.2,0.7,20.9,11.5,50.7,0.82,7.2,298,3
299,12.5,5.6,1.8,28.4,10.5,38.8,0.99,8.4,560,3
300,5.3,8.0,51.7,41.3,29.5,82.5,1.61,59.3,479,2
301,10.4,6.4,1.7,25.9,24.4,44.8,0.97,7.4,574,3
302,10.9,5.7,5.8,26.7,17.3,56.9,0.83,10.7,257,3
303,12.9,2.8,13.8,30.7,23.5,76.4,0.9,18.9,302,3
304,10.6,5.0,35.6,24.2,16.7,58.2,0.92,39.3,360,3
305,14.4,1.6,16.8,16.4,16.0,46.2,0.8,20.2,189,3
306,10.5,2.0,1.5,31.1,21.1,75.3,1.14,4.9,337,3
307,5.7,12.5,44.7,27.8,29.8,94.0,1.46,59.3,687,2
308,11.6,-0.5,92.7,26.5,25.4,59.9,0.92,98.0,485,3
309,4.8,21.5,2.3,40.1,31.4,61.7,2.13,17.0,788,1
310,13.7,2.2,5.0,24.1,17.4,70.9,0.97,9.7,366,3
311,6.4,8.2,22.2,31.6,22.9,55.9,1.46,30.6,581,2
312,9.0,13.1,78.8,33.2,27.7,76.0,1.36,87.1,679,2
313,11.8,5.2,0.0,24.1,13.8,43.5,0.91,5.1,399,3
314,7.8,11.1,17.6,27.7,24.6,54.0,1.27,23.2,638,2
315,4.9,25.0,28.6,29.2,32.4,60.8,1.41,47.1,611,1
316,5.6,6.6,3.7,36.3,27.1,71.7,1.29,10.5,488,2
317,11.5,7.8,12.7,27.7,24.9,76.3,1.02,17.5,536,3
318,11.3,4.0,7.3,24.3,24.4,67.2,1.14,11.5,277,3
319,4.2,27.2,52.5,38.6,38.4,80.8,2.16,73.9,707,1
320,5.2,14.1,9.6,22.7,32.8,69.7,1.45,24.8,607,2
321,10.9,5.7,0.0,24.0,28.2,57.3,0.89,4.7,442,3
322,3.4,36.8,19.2,31.3,31.6,89.8,2.72,37.7,532,0
323,13.0,7.6,6.5,22.3,20.7,74.3,0.92,10.9,210,3
324,10.9,6.9,1.7,27.0,13.0,45.8,0.92,6.0,233,3
325,11.3,5.9,13.7,23.5,20.2,66.6,0.77,20.0,347,3
326,7.5,8.6,20.7,37.0,25.3,59.3,1.22,31.3,430,2
327,3.7,17.1,57.9,21.0,19.4,90.0,1.93,74.0,498,1
328,11.5,6.2,15.2,26.9,13.8,45.5,0.91,19.5,239,3
329,5.3,16.8,2.6,33.1,29.5,80.3,1.37,8.1,584,2
330,4.8,13.8,40.1,27.5,32.1,88.9,2.25,68.0,413,1
331,2.6,14.7,7.3,36.7,52.7,103.1,2.52,25.2,594,0
332,3.6,3.8,4.1,29.4,27.6,72.4,1.58,7.5,629,1
333,13.2,4.9,9.9,23.4,22.3,60.7,0.9,14.5,329,3
334,10.6,12.7,21.9,24.4,11.1,48.1,0.97,29.7,572,3
335,3.9,16.5,32.2,34.3,31.7,81.2,1.71,47.1,507,1
336,5.7,8.1,24.9,35.2,36.3,82.6,1.99,43.4,419,1
337,5.4,6.9,35.6,25.8,28.9,52.3,1.2,56.7,535,2
338,11.3,5.5,1.2,29.1,25.5,65.7,0.95,5.7,576,3
339,6.8,8.3,11.9,25.4,20.6,72.7,1.46,15.3,503,2
340,5.1,16.1,7.7,18.9,37.2,84.5,1.76,23.8,691,1
341,4.9,-4.1,47.7,40.1,31.6,62.1,2.54,67.7,570,1
342,5.2,24.2,47.7,35.4,49.3,120.5,2.36,61.2,662,0
343,5.6,10.9,30.4,31.5,28.9,51.8,1.34,41.3,565,2
344,5.1,10.5,6.0,44.3,28.9,59.3,1.79,17.3,643,1
345,4.7,21.8,41.4,44.5,38.4,79.6,2.44,53.1,837,0
346,10.3,2.7,16.3,25.9,18.4,79.1,0.9,22.0,387,3
347,7.5,9.8,24.5,24.9,18.7,83.1,1.58,34.6,529,2
348,10.6,4.2,0.6,22.8,24.1,73.0,0.87,5.4,381,3
349,3.9,11.0,13.5,35.7,33.2,94.8,1.65,38.4,749,1
350,15.2,7.1,6.3,28.2,26.2,39.4,0.92,11.6,289,3
351,10.2,3.8,2.7,24.6,18.4,46.5,1.09,9.2,296,3
352,4.2,8.3,11.0,31.8,35.1,90.8,2.1,19.1,513,1
353,6.0,9.7,13.2,27.4,25.9,82.9,1.23,31.2,539,2
354,10.6,6.0,16.1,27.7,26.0,51.1,0.99,20.2,562,3
355,5.8,13.4,186.7,33.6,36.8,84.2,2.57,209.8,879,0
356,7.2,11.0,34.4,32.7,28.8,63.2,1.54,39.6,296,2
357,8.8,15.0,2.1,33.7,26.7,82.4,1.51,9.9,407,2
358,6.8,25.6,56.5,46.1,22.8,105.2,2.41,70.0,524,0
359,10.4,10.9,6.6,24.3,22.5,62.7,0.92,15.4,437,3
360,12.3,5.0,2.0,24.5,22.9,63.2,1.07,8.7,561,3
361,10.6,2.6,1.0,20.1,17.0,66.0,1.02,3.5,573,3
362,6.8,19.6,18.7,26.6,31.1,75.1,1.73,32.7,415,2
363,9.2,6.7,55.3,39.0,45.1,89.4,1.83,80.7,792,1
364,5.3,15.6,20.3,33.7,27.5,57.2,1.74,33.5,531,2
365,10.3,9.9,36.3,24.7,21.0,79.4,1.67,47.9,549,2
366,5.2,18.4,7.5,34.5,54.9,105.1,2.99,31.7,561,0
